instant,dateday,season,year,month,holiday,workingday,weather,temp,atemp,hum,casual,registered,count,weekday
1,2011-01-01,Spring,2011,January,0,0,Cloudy,14.110847,18.18125,80.58330000000001,331,654,985,Saturday
2,2011-01-02,Spring,2011,January,0,0,Cloudy,14.902598000000001,17.686950000000003,69.6087,131,670,801,Sunday
3,2011-01-03,Spring,2011,January,0,1,Clear,8.050924,9.47025,43.7273,120,1229,1349,Monday
4,2011-01-04,Spring,2011,January,0,1,Clear,8.200000000000001,10.6061,59.0435,108,1454,1562,Tuesday
5,2011-01-05,Spring,2011,January,0,1,Clear,9.305237,11.4635,43.695699999999995,82,1518,1600,Wednesday
6,2011-01-06,Spring,2011,January,0,1,Clear,8.378268,11.66045,51.8261,88,1518,1606,Thursday
7,2011-01-07,Spring,2011,January,0,1,Cloudy,8.057402,10.44195,49.8696,148,1362,1510,Friday
8,2011-01-08,Spring,2011,January,0,0,Cloudy,6.765000000000001,8.1127,53.5833,68,891,959,Saturday
9,2011-01-09,Spring,2011,January,0,0,Clear,5.671653,5.80875,43.416700000000006,54,768,822,Sunday
10,2011-01-10,Spring,2011,January,0,1,Clear,6.184153,7.5443999999999996,48.2917,41,1280,1321,Monday
11,2011-01-11,Spring,2011,January,0,1,Cloudy,6.9327309999999995,9.5732,68.6364,43,1220,1263,Tuesday
12,2011-01-12,Spring,2011,January,0,1,Clear,7.0818069999999995,8.02365,59.954499999999996,25,1137,1162,Wednesday
13,2011-01-13,Spring,2011,January,0,1,Clear,6.765000000000001,7.544149999999999,47.0417,38,1368,1406,Thursday
14,2011-01-14,Spring,2011,January,0,1,Clear,6.59567,9.42065,53.7826,54,1367,1421,Friday
15,2011-01-15,Spring,2011,January,0,0,Cloudy,9.566653,12.4056,49.875,222,1026,1248,Saturday
16,2011-01-16,Spring,2011,January,0,0,Clear,9.498347,11.71085,48.375,251,953,1204,Sunday
17,2011-01-17,Spring,2011,January,1,0,Cloudy,7.209153,8.838550000000001,53.75,117,883,1000,Monday
18,2011-01-18,Spring,2011,January,0,1,Cloudy,8.883347,11.61665,86.16669999999999,9,674,683,Tuesday
19,2011-01-19,Spring,2011,January,0,1,Cloudy,11.979134,14.921100000000001,74.1739,78,1572,1650,Wednesday
20,2011-01-20,Spring,2011,January,0,1,Cloudy,10.728347,12.7525,53.833299999999994,83,1844,1927,Thursday
